;item_sanitizado;contagem_itens;orgaos_unicos_mp;orgaos_unicos_geral;categoria_cnj;categoria_mp;flag;PL;status
95;abono familia;6724;0;2;NA;NA;0;;
96;despesa de exercicios anteriores;6509;1;1;NA;NA;0;;
97;auxilio creche;6361;1;4;NA;NA;0;;
98;cota celular;6323;0;1;NA;NA;0;;
99;adicional por tempo de servico magistrado;6275;0;18;NA;NA;0;;
100;direcao de promotoria;6167;1;1;NA;NA;0;;
101;outras verbas remuneratorias;6138;2;2;NA;NA;0;;
102;ferias13 constitucional;6111;1;1;NA;NA;0;;
103;inden conv pec lic compensatoria subs cumul membro;6098;1;1;NA;NA;0;;
104;verbas indenizacoes;6042;2;2;NA;NA;0;;
105;devolucoes de valores;5852;0;1;NA;NA;0;;
106;designacaosubstituicao gratificacao por acumulacao de acervo;5771;0;1;NA;NA;0;;
107;grat eleit de juizes titgrajut;5309;0;1;NA;NA;0;;
108;dif de subsidio por substituicao;5269;1;1;NA;NA;0;;
109;dif de subsidio substituicao meses ant;5049;1;1;NA;NA;0;;
110;trienio magistrados;4990;0;1;NA;NA;0;;
111;designacaosubstituicao indenizacao de compensacao de horas;4947;0;1;NA;NA;0;;
112;reprlei 553509 vi e vii;4907;0;1;NA;NA;0;;
113;rep dir forum vi 1ent;4882;0;1;NA;NA;0;;
114;gratificacao de exercicio;4828;0;1;NA;NA;0;;
115;permanencia;4765;1;1;NA;NA;0;;
116;0032gtart5iier13cnj0185gtart5iijr13cnj0187gtart5iiir13cnj0188gtart5iifr13cnj0353gtart5iiar13cnj0354gtart5iibg13cnj639docencia esmam mag0642docencia eastjam mag0657gratassuncao acervo;4727;0;1;NA;NA;0;;
117;outras remuneracoes retroativas temporarias;4640;3;3;NA;NA;0;;
118;licenca compensatoria por exercicio de plantao realizacao de audiencia de custodia substituicao legal ou designacao lce 6432018 art 85 e 86;4601;0;1;NA;NA;0;;
119;licenca premio em pecunia;4462;2;3;NA;NA;0;;
120;conversao de licenca premio em pecunia;4312;1;1;NA;NA;0;;
121;lic premio indenizada;4296;0;2;NA;NA;0;;
122;convocacoes;4269;1;2;NA;NA;0;;
123;quinquenio;4115;0;1;NA;NA;0;;
124;salario familia decisao judicial;4058;0;1;NA;NA;0;;
125;substituicao membros ms2013;4019;1;1;NA;NA;0;;
126;pecunia licenca exerant;4006;0;1;NA;NA;0;;
127;licenca premio indenizada;3959;1;6;NA;NA;0;;
128;gratrepgabinete por assessoramento;3905;1;1;NA;NA;0;;
129;correcao e juros indenizacoes;3891;0;2;NA;NA;0;;
130;adicional por tempo de servico magistrado inativo;3828;0;18;NA;NA;0;;
131;gratificacao de direcao de forum inativo;3686;0;1;NA;NA;0;;
132;auxiliomoradia membro mp;3674;1;1;NA;NA;0;;
133;diferenca de entrancia;3612;1;4;NA;NA;0;;
134;outras verbas remuneratorias legaisjudiciais;3573;2;2;NA;NA;0;;
135;parcela art 95 iiicrfb mag inativo;3560;0;1;NA;NA;0;;
136;exercicio acumulativo;3498;1;1;NA;NA;0;;
137;gratif por exercicio cumulativo de oficios sem psss;3485;1;1;NA;NA;0;;
138;rep dir forum vi 2ent;3473;0;1;NA;NA;0;;
139;indenizacao de remuneracao;3361;0;1;NA;NA;0;;
140;decisoes stf adis 3854 e 4014;3235;0;1;NA;NA;0;;
141;abono pecuniario de ferias magistrados;3207;0;2;NA;NA;0;;
142;adicional noturno;3179;1;1;NA;NA;0;;
143;urv decisao proc n 201691929387;3092;0;1;NA;NA;0;;
144;auxiliomoradia;3080;5;5;NA;NA;0;;
145;vant pessoal ats pa 259712022;3056;0;1;NA;NA;0;;
146;ats;3049;0;3;NA;NA;0;;
147;gratpor encargo de licitacao equipe de apoio;3019;1;1;NA;NA;0;;
148;dif de subsidio;2994;1;1;NA;NA;0;;
149;funcao gratificada;2952;0;1;NA;NA;0;;
150;gratificacao de exercicioacervo;2846;0;1;NA;NA;0;;
151;substituicao cumulativa membro mp;2840;1;1;NA;NA;0;;
152;indenizacao de licenca premio gratificacao por acumulacao de acervo;2752;0;1;NA;NA;0;;
153;complementacao salarial;2741;0;1;NA;NA;0;;
154;licenca premio;2731;1;3;NA;NA;0;;
155;inden conv pec lic compensatoria acum acervo;2698;1;1;NA;NA;0;;
156;auxilio transporte ind res cnj n 52823;2598;0;1;NA;NA;0;;
157;cargo em comissao;2577;1;1;NA;NA;0;;
158;indenizacao lic compensatoria restj 112023;2502;0;1;NA;NA;0;;
159;designacaosubstituicao indenizacao de licenca premio;2480;0;1;NA;NA;0;;
160;moradia;2466;1;1;NA;NA;0;;
161;adts vantagem pessoal;2442;0;1;NA;NA;0;;
162;ferias terco constitucional;2419;1;1;NA;NA;0;;
163;dif terco conv pecunia ferias;2415;1;1;NA;NA;0;;
164;indenizacao ferias interrompidas;2380;1;1;NA;NA;0;;
165;indenizacao transporte e comunicacao;2378;0;3;NA;NA;0;;
166;inden conv pec lic compensatoria cumulativa;2347;1;1;NA;NA;0;;
167;gratificacoes;2328;3;3;NA;NA;0;;
168;gratpor encargo de licitacao presidente comite;2292;1;1;NA;NA;0;;
