;item_sanitizado;contagem_itens;orgaos_unicos_mp;orgaos_unicos_geral;categoria_cnj;categoria_mp;flag;PL;status
839;fpipajm 13 lc 282;52;0;1;NA;NA;0;;
840;grat eleit 012021;52;0;1;NA;NA;0;;
841;grat eleit 092022;52;0;1;NA;NA;0;;
842;grat eleit 122022;52;0;1;NA;NA;0;;
843;gratificacao de direcao de forum inativo correcao monet indenizatoria juros;52;0;1;NA;NA;0;;
844;indeniz serv de comun movel magistrados trt15 indenizacao licenca compensatoria;52;0;1;NA;NA;0;;
845;ind pla res oe122015 ant;51;0;1;NA;NA;0;;
846;indenizacao resolucao 92014art 1 iv20;51;0;1;NA;NA;0;;
847;ant grat eleit 122020;50;0;1;NA;NA;0;;
848;bolsa de estudo de posgraduacao;50;0;1;NA;NA;0;;
849;grat eleit 042021;50;0;1;NA;NA;0;;
850;grat eleit 122020;50;0;1;NA;NA;0;;
851;grat eleitoral ref 072020;50;0;1;NA;NA;0;;
852;gratif eleitoral 032019;50;0;1;NA;NA;0;;
853;gratif eleitoral 032020;50;0;1;NA;NA;0;;
854;gratif eleitoral 092020;50;0;1;NA;NA;0;;
855;gratif eleitoral 102020;50;0;1;NA;NA;0;;
856;gratificacao de direcao de forum diferenca de entrancia;50;0;1;NA;NA;0;;
857;gratificacao eleitoral 082019;50;0;1;NA;NA;0;;
858;dea gecj;49;0;1;NA;NA;0;;
859;diferenca de recebimentos;49;1;1;NA;NA;0;;
860;grat presidencia;49;0;2;NA;NA;0;;
861;gratif eleitoral 042020;49;0;1;NA;NA;0;;
862;plano segursocial natalina teto previdenciario;49;0;1;NA;NA;0;;
863;vantagem pessoal lei 952797 dec jud;49;0;1;NA;NA;0;;
864;63 grat coord juizados especial;48;0;1;NA;NA;0;;
865;auxiliodoenca;48;1;1;NA;NA;0;;
866;decisao judicial quintosdecimos vpni gel gratificacao especial de localidade decisao judicial ntj gel irrf deposito em juizo dec jud ntj provento art 192i lei 811290 dif dec jud ntj provento;48;0;1;NA;NA;0;;
867;gratificacao juiz auxiliar da corregedoria;48;0;1;NA;NA;0;;
868;gratificacao juiz auxiliar da presidencia;48;0;1;NA;NA;0;;
869;gratificacao natalina magistrado dec jud vantagem lei 171152 art 184 20 dec jud;48;0;1;NA;NA;0;;
870;indenizacao resolucao 92014art 1 i30;48;0;1;NA;NA;0;;
871;vpni decisao judicial;48;0;1;NA;NA;0;;
872;11 grat de presidente;47;0;1;NA;NA;0;;
873;12 grat de vice presidente;47;0;1;NA;NA;0;;
874;356 grat de acervo;47;0;1;NA;NA;0;;
875;correcao monet indenizatoria juros convocacoes plantao judiciario pecunia;47;0;1;NA;NA;0;;
876;grat direitor foro;47;0;1;NA;NA;0;;
877;grat eleit ref 032022;47;0;1;NA;NA;0;;
878;gratificacao de docencia;47;0;1;NA;NA;0;;
879;indenizacao combustivel magistrado indenizacao licenca compensatoria magistrado indenizacao pedagio magistrado;47;0;1;NA;NA;0;;
880;vpni dec jud tran jul ativo;47;0;1;NA;NA;0;;
881;despexantinat corr mon sem inc;46;0;1;NA;NA;0;;
882;grat presidencia trt5;46;0;1;NA;NA;0;;
883;0032gtart5iier13cnj0185gtart5iijr13cnj0187gtart5iiir13cnj0188gtart5iifr13cnj0353gtart5iiar13cnj0354gtart5iibg13cnj0102dev desc indevido;45;0;1;NA;NA;0;;
884;designacaosubstituicao devolucoesacerto financeiro indenizacao de compensacao de horas licenca compensatoria;45;0;1;NA;NA;0;;
885;dif substituicao cumulativa membro mp;45;1;1;NA;NA;0;;
886;grat horaaula13 abono ec 4103;45;0;1;NA;NA;0;;
887;13substituicaopecunia licenca vigente;44;0;1;NA;NA;0;;
888;auxilio moradia pjes;44;0;1;NA;NA;0;;
889;decisao judicial reajuste 1198 urv e salario familia;44;0;1;NA;NA;0;;
890;devolucao de imposto de renda gratificacao de direcao de forum;44;0;1;NA;NA;0;;
891;devolucoes de descontos;44;1;1;NA;NA;0;;
892;dif subsidios;44;1;1;NA;NA;0;;
893;indenizacao de licenca premio gratificacao de gabinete;44;0;1;NA;NA;0;;
894;proc admin ameron 0010455042017 e 0014837402017tjro;44;0;1;NA;NA;0;;
895;despexantinatjuros mora sinc;43;0;1;NA;NA;0;;
896;devolucoes de valores convocacoes plantao judiciario;43;0;1;NA;NA;0;;
897;grat por encargo de curso ou concurso;43;1;1;NA;NA;0;;
898;gratificacao natalina e antecipacao;43;0;1;NA;NA;0;;
899;representacao de desembargador presidente;43;0;1;NA;NA;0;;
900;retribuicao concurso;43;1;1;NA;NA;0;;
901;saude10 reembolso medico;43;0;1;NA;NA;0;;
902;grat correg adjunto;42;0;1;NA;NA;0;;
903;gratificacao de direcao de forum auxilio creche;42;0;1;NA;NA;0;;
904;representacao mensal juiz presidente trt;42;0;2;NA;NA;0;;
905;designacaosubstituicao devolucoesacerto financeiro indenizacao de compensacao de horas;41;0;1;NA;NA;0;;
906;dev de valores;41;0;1;NA;NA;0;;
907;dif pens vant art 184 ii l 171152;41;0;1;NA;NA;0;;
908;difent1213art107lc165100;41;0;1;NA;NA;0;;
909;grat acumulo jurisdicao c exclusiv;41;0;1;NA;NA;0;;
910;inden plan restjoe122015;41;0;1;NA;NA;0;;
911;plano de seguridade social;41;0;1;NA;NA;0;;
912;trt4 ressarcimento de despesas com vacinas;41;0;1;NA;NA;0;;
913;vant pessoal fc3 fc5 e cj3;41;0;1;NA;NA;0;;
914;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122268;40;0;1;NA;NA;0;;
915;bolsa pesquisa;40;0;1;NA;NA;0;;
916;dj tj vpni adicional por tempo de servico decisao cjf acordao 04062932022;40;0;1;NA;NA;0;;
917;exerc anteriores pae esc 5rra correcao e juros;40;0;1;NA;NA;0;;
918;grateleitoral;40;0;1;NA;NA;0;;
919;indenizacao resolucao 92014art 1 iii20;40;0;1;NA;NA;0;;
920;juros indenizacao de remuneracao plantao judiciario pecunia;40;0;1;NA;NA;0;;
921;rep correg geral justica vi;40;0;1;NA;NA;0;;
922;ressarcimento iperon;40;0;1;NA;NA;0;;
923;devajufe mensalidade;39;0;1;NA;NA;0;;
924;difgratsubstmag10;39;0;1;NA;NA;0;;
925;grat represent presidente;39;0;2;NA;NA;0;;
926;reembolso medico;39;0;1;NA;NA;0;;
927;devolucoes de valores gratificacao de docencia;38;0;1;NA;NA;0;;
928;juros mora selicdevpsss;38;0;1;NA;NA;0;;
929;subs funcao ministerio publico;38;1;1;NA;NA;0;;
930;auxilio bolsa de estudo;37;0;1;NA;NA;0;;
931;gratificacao de direcao de forum plantao judiciario;37;0;1;NA;NA;0;;
932;indenizacao de transporte diarias magistrado;37;0;1;NA;NA;0;;
933;provvantpessnomident fc06;37;0;1;NA;NA;0;;
934;rep correg int vi;37;0;1;NA;NA;0;;
935;rep correg metrop vi;37;0;1;NA;NA;0;;
936;difgratificacao ttr;36;1;1;NA;NA;0;;
937;gratvice corregedor;36;0;1;NA;NA;0;;
938;licpremio indenizada;36;0;2;NA;NA;0;;
939;repre lei 553509 i e ii;36;0;1;NA;NA;0;;
940;aux bolsa estudos;35;0;1;NA;NA;0;;
941;beneficio especial lei 12618 magistrado;35;0;2;NA;NA;0;;
942;despexercantatjuros mora natal cir;35;0;1;NA;NA;0;;
943;grat diretor escola;35;0;1;NA;NA;0;;
944;grat horaaulainstrutor pos graduacao;35;0;1;NA;NA;0;;
945;grat vicepresid;35;0;1;NA;NA;0;;
946;gratificacao de dificil provimento acervo processual 2015 a 2019;35;0;1;NA;NA;0;;
947;gratificacao de direcao de forum devolucoes de valores plantao judiciario pecunia;35;0;1;NA;NA;0;;
948;indenizacao combustivel magistrado indenizacao licenca compensatoria indenizacao pedagio magistrado;35;0;1;NA;NA;0;;
949;parcela autonoma de equivalencia pae passivo dif entranciainstancia;35;0;1;NA;NA;0;;
950;pivp ressarcimento lei complementar 7552023;35;0;1;NA;NA;0;;
951;24 grat de corregedor geral;34;0;1;NA;NA;0;;
952;adicional por tempo de servico magistrado inativo vant art 184 lei 171152 magis inativo;34;0;1;NA;NA;0;;
953;dec jud vant art 192 ii inativo;34;0;1;NA;NA;0;;
954;gel representacao magistrado presidente;34;0;1;NA;NA;0;;
955;grat ouvjudiciario;34;0;1;NA;NA;0;;
956;indenizacao passagem magistrado;34;0;5;NA;NA;0;;
957;natalidade;34;1;1;NA;NA;0;;
958;reembolso de despesas medicas dev unimedcusteio dev unimed plano assist medica dev prosercontribuicao mensalreembolso de despesas medicas dev unimedcusteio dev unimed plano assist medica dev prosercontribuicao mensal;34;0;1;NA;NA;0;;
959;176 juiz auxiliar da corregedoria;33;0;1;NA;NA;0;;
960;decjud tj proventos;33;0;1;NA;NA;0;;
961;designacaosubstituicao devolucoesacerto financeiro indenizacao de licenca premio gratificacao por acumulacao de acervo;33;0;1;NA;NA;0;;
962;diferenca ir sobre jurosurv;33;0;1;NA;NA;0;;
963;licencapremio indenizada;33;0;2;NA;NA;0;;
964;previdencia;33;0;1;NA;NA;0;;
965;reprlei 553509 vi e viiinden plan restjoe122015ind pla restjoe122015ant;33;0;1;NA;NA;0;;
966;auxilio creche retroativo;32;0;1;NA;NA;0;;
967;beneficio espec lei 12618 mag provisorio;32;0;1;NA;NA;0;;
968;dif substituicoes;32;0;1;NA;NA;0;;
969;art 85 inciso viii da lei 6432018 e art 3 da resolucao 502021 de 23122268;31;0;1;NA;NA;0;;
970;auxilio adocao;31;0;1;NA;NA;0;;
971;convocacoes devolucao de imposto de renda;31;0;1;NA;NA;0;;
972;dif subsidio;31;0;3;NA;NA;0;;
973;grat horaaulareprlei 553509 vi e vii;31;0;1;NA;NA;0;;
974;gratificacao de direcao de forum correcao monet indenizatoria juros;31;0;1;NA;NA;0;;
975;indenizacao juiz aux;31;0;1;NA;NA;0;;
976;plantao judiciario pecunia convocacoes;31;0;1;NA;NA;0;;
977;reprlei 553509 vi e viiind pla res oe122015 ant;31;0;1;NA;NA;0;;
978;bolsa posgraduacao;30;0;1;NA;NA;0;;
979;gratificacao juiz auxiliar;30;0;1;NA;NA;0;;
980;gratificacao presidente camara;30;0;1;NA;NA;0;;
981;inativo dec jud ntj vpni quintos decimos;30;0;1;NA;NA;0;;
982;inden folga compensatoria;30;0;1;NA;NA;0;;
983;pae ativo;30;0;1;NA;NA;0;;
984;prosaude beneficiario tipo 1 e 2 parcelado;30;0;1;NA;NA;0;;
985;quiquenio;30;0;1;NA;NA;0;;
986;dec jud ntj dev deducao por limite remativo;29;0;1;NA;NA;0;;
987;despexercantpensjuros mora natal sem incid;29;0;1;NA;NA;0;;
988;indenizacao licenca compensatoria magistrado trt4 ressarcimento de despesas com vacinas;29;0;1;NA;NA;0;;
989;pae inativo;29;0;1;NA;NA;0;;
990;restituicao;29;0;1;NA;NA;0;;
991;95 grat de diretora da esjud;28;0;1;NA;NA;0;;
992;correcao monet indenizatoria;28;0;1;NA;NA;0;;
993;designacaosubstituicao devolucoesacerto financeiro indenizacao de compensacao de horas indenizacao de licenca premio licenca compensatoria;28;0;1;NA;NA;0;;
994;despexercantpenscormonetnatalina irrfpss;28;0;1;NA;NA;0;;
995;despexercantpensjmora sinc;28;0;1;NA;NA;0;;
996;dj tj vpni dj tj provento art 192 ii cpss irrf gel decisao judicial ntj gel irrf deposito em juizo;28;0;1;NA;NA;0;;
997;grat acumulo jurisdicao s exclusiv;28;0;1;NA;NA;0;;
998;gratificacao de direcao de forum correcao monetariaat;28;0;1;NA;NA;0;;
999;gratificacao de direcao de forumdevolucao de outros valores;28;0;1;NA;NA;0;;
1000;13substituicaoind pla restjoe122015ant;27;0;1;NA;NA;0;;
1001;decisao judicial tj vpni decisao judicial quintosdecimos vpni gel gratificacao especial de localidade decisao judicial ntj gel irrf deposito em juizo dec jud ntj provento art 192i lei 811290;27;0;1;NA;NA;0;;
1002;decisao judicial tj vpni magistrado decisao judicial quintosdecimos vpni magistrado ativo gel gratificacao especial de localidade decisao judicial ntj gel irrf deposito em juizo dec jud ntj provento art 192i lei 811290magistrado dif dec jud ntj provento art 192i lei 811290magistrado;27;0;1;NA;NA;0;;
1003;decisao judicial tj vpni magistrado gel gratificacao especial de localidade decisao judicial ntj gel;27;0;1;NA;NA;0;;
1004;designacaosubstituicao devolucoesacerto financeiro indenizacao de licenca premio licenca compensatoria;27;0;1;NA;NA;0;;
1005;difdifindividual mag ativo;27;0;1;NA;NA;0;;
1006;dj quintos ferias dj tj vpni magistrado dj tj provento art 192 ii cpss irrf gel gratificacao especial de localidade;27;0;1;NA;NA;0;;
1007;dj quintosdecimos vpni ativo dj tj provento art 192 ii cpss irrf gel gratificacao especial de localidade dj ntj provento art 192i lei 811290;27;0;1;NA;NA;0;;
1008;dj tj atualizacao quintos dj tj provento art 192 ii cpss irrf gel gratificacao especial de localidade;27;0;1;NA;NA;0;;
1009;dj tj atualizacao quintos ferias decisao judicial quintosdecimos vpni magistrado ativo dec jud tj provento art 192 ii cpss irrf gel gratificacao especial de localidade;27;0;1;NA;NA;0;;
1010;dj tj atualizacao quintos ferias decisao judicial tj vpni magistrado dj tj provento art 192 ii cpss irrf gel gratificacao especial de localidade;27;0;1;NA;NA;0;;
1011;dj tj atualizacao quintos ferias dj tj provento art 192 ii cpss irrf gel gratificacao especial de localidade;27;0;1;NA;NA;0;;
1012;dj tj atualizacao quintos ferias dj tj vpni magistrado dj quintosdecimos vpni magistrado ativo dj tj provento art 192 ii cpss irrf gel gratificacao especial de localidade;27;0;1;NA;NA;0;;
1013;dj tj vpni dj judicial quintosdecimos vpni magistrado ativo gel gratificacao especial de localidade dj ntj gel;27;0;1;NA;NA;0;;
1014;dj tj vpni dj quintosdecimos vpni dj tj provento art 192 ii gel gratificacao especial de localidade;27;0;1;NA;NA;0;;
1015;dj tj vpni dj quintosdecimos vpni gel gratificacao especial de localidade dj ntj gel dj;27;0;1;NA;NA;0;;
1016;dj tj vpni dj quintosdecimos vpni gratificacao especial de localidade decisao judicial ntj gel irrf deposito em juizo dec jud ntj provento art 192i lei 811290j dif dec jud ntj provento art 192i lei 811290j;27;0;1;NA;NA;0;;
1017;dj tj vpni dj quintosdecimos vpni magistrado ativo gratificacao especial de localidade dj ntj gel irrf deposito em juizo dj ntj provento art 192i lei 811290;27;0;1;NA;NA;0;;
1018;dj tj vpni magistrado decisao judicial quintosdecimos vpni magistrado ativo gel gratificacao especial de localidade decisao judicial ntj gel gel gratificacao especial de localidade s irrf s tco;27;0;1;NA;NA;0;;
1019;dj tj vpni magistrado dj quintosdecimos vpni magistrado ativo dj tj provento art 192 ii cpss irrf gel gratificacao especial de localidade decisao judicial ntj gel irrf deposito em juizo;27;0;1;NA;NA;0;;
1020;dj tj vpni magistrado dj quintosdecimos vpni magistrado ativo dj tj provento art 192 ii cpss irrf gel gratificacao especial de localidadedj ntj provento art 192i lei 811290magistrado;27;0;1;NA;NA;0;;
1021;dj tj vpni magistrado dj quintosdecimos vpni magistrado ativo gel gratificacao especial de localidade dj ntj gel dj ntj provento art 192i lei 811290magistrado;27;0;1;NA;NA;0;;
1022;dj tj vpni magistrado dj tj provento art 192 ii cpss irrf gel gratificacao especial de localidade decisao judicial ntj gel irrf deposito em juizo;27;0;1;NA;NA;0;;
1023;dj tj vpni magistrado dj tj provento art 192 ii cpss irrf gel gratificacao especial de localidade gel gratificacao especial de localidade s irrf s tco dec jud tj vpni gel magistrado s deducao por limite de remuneracao sirrf;27;0;1;NA;NA;0;;
1024;dj tj vpni magistrado dj tj provento art 192 ii cpss irrf gel s irrf s tco;27;0;1;NA;NA;0;;
1025;dj vpni magistrado dj provento art 192 ii cpss irrf gel gratificacao especial de localidade;27;0;1;NA;NA;0;;
1026;djtj vpni magistrado djtj provento art 192 ii cpss irrf gel gratificacao especial de localidade;27;0;1;NA;NA;0;;
1027;djvpni magistrado ativo dj ntj gel irrf deposito em juizo gel gratificacao especial de localidade s irrf s tco dec jud tj vpni gel magistrado s deducao por limite de remuneracao sirrf;27;0;1;NA;NA;0;;
1028;gratif eleit juiz auxiliar pleitos;27;0;1;NA;NA;0;;
1029;decisao judicial tj vpni magistrado gel gratificacao especial de localidade dec jud ntj provento art 192i lei 811290magistrado;26;0;1;NA;NA;0;;
1030;gn sdesg eqv;26;0;1;NA;NA;0;;
1031;gratificacao de direcao de forum convocacoes;26;0;1;NA;NA;0;;
1032;lic premio pecunia correcao monetaria;26;0;1;NA;NA;0;;
1033;abono permanencia 13 salario;25;0;1;NA;NA;0;;
1034;bolsa posgraduacao mag;25;0;1;NA;NA;0;;
1035;decisao judicial quintosdecimos vpni magistrado ativo gel gratificacao especial de localidade decisao judicial ntj gel irrf deposito em juizo dec jud ntj provento art 192i lei 811290magistrado dif dec jud ntj provento art 192i lei 811290magistrado;25;0;1;NA;NA;0;;
1036;despexercantpensjuros mora cir;25;0;1;NA;NA;0;;
1037;dif indenizacao resolucao 92014art 1o vi5;25;0;1;NA;NA;0;;
1038;diferenca de abono permanencia;25;0;1;NA;NA;0;;
1039;gratacumjur gratacumjur gratacumjur;25;0;1;NA;NA;0;;
1040;preves normal mensal segurado;25;0;1;NA;NA;0;;
1041;reembolso;25;0;1;NA;NA;0;;
1042;repr 553509 iii iv e vpecunia licenca exerant;25;0;1;NA;NA;0;;
1043;representacao abono pecuniario;25;0;1;NA;NA;0;;
1044;representacao mensal juiz presidente;25;0;1;NA;NA;0;;
1045;vantagem individual mag inat;25;0;1;NA;NA;0;;
1046;357 grat de acervo exerc ant;24;0;1;NA;NA;0;;
1047;abono pecuniario inf;24;0;1;NA;NA;0;;
1048;design juiz aux correg;24;0;1;NA;NA;0;;
1049;gratificacao eleitoral juiz auxiliar;24;0;2;NA;NA;0;;
1050;gratificacao natalina magistrado dec jud trans julgado vantagem lei 171152 art 184 20 dec judtrans julgado;24;0;1;NA;NA;0;;
1051;presidencia;24;0;2;NA;NA;0;;
1052;reembolso de curso de pos graduacao;24;0;1;NA;NA;0;;
1053;vant pessoal lei 952797 dec jud;24;0;1;NA;NA;0;;
1054;vantpessoalmp 1573;24;0;1;NA;NA;0;;
1055;artigo 184 ii;23;0;1;NA;NA;0;;
1056;atualmonetariapss;23;0;1;NA;NA;0;;
1057;dec jud tj vpni pensionista;23;0;1;NA;NA;0;;
1058;devolucoes de valores convocacoes plantao judiciario pecunia;23;0;1;NA;NA;0;;
1059;abate teto ec 41 abate teto ec 41 13s;22;0;1;NA;NA;0;;
1060;abono pecuniario de ferias 49;22;0;1;NA;NA;0;;
1061;assist med odon trt reembolso medico;22;0;1;NA;NA;0;;
1062;bolsapos gradmagist;22;0;1;NA;NA;0;;
1063;correcao monet indenizatoria juros convocacoes;22;0;1;NA;NA;0;;
1064;decisao judicial reajuste 1198 urv;22;0;1;NA;NA;0;;
1065;dif assistencia medicosocial auxiliosaude membro mp;22;1;1;NA;NA;0;;
1066;dif auxilioalimentacao membro mp;22;1;1;NA;NA;0;;
1067;dif gratjuiz assistente rescnj 722009;22;0;1;NA;NA;0;;
1068;grat diretor de forum informa;22;0;1;NA;NA;0;;
1069;indenizacao combustivel magistrado indenizacao licenca compensatoria;22;0;4;NA;NA;0;;
1070;indenizacao licenca compensatoria magistrado indenizacao servico de comunic movel magistrado;22;0;1;NA;NA;0;;
1071;licenca compensatoria gratificacao de gabinete;22;0;1;NA;NA;0;;
1072;parcela repres presidencia;22;0;1;NA;NA;0;;
1073;substituicao de cargo;22;1;1;NA;NA;0;;
1074;vantpessoal mp1573 lei 952797;22;0;1;NA;NA;0;;
1075;vpni dec jud tran jul;22;0;1;NA;NA;0;;
1076;funcao gratificada funcao gratificada funcao gratificada;21;0;1;NA;NA;0;;
1077;funcao gratificada funcao gratificada gratacumjur;21;0;1;NA;NA;0;;
1078;licenca premio indenizda;21;0;1;NA;NA;0;;
1079;repr 553509 iii iv e v13 abono ec 4103;21;0;1;NA;NA;0;;
1080;rm desembargador presidente;21;0;1;NA;NA;0;;
1081;abono pecuniario de ferias decisao judicial;20;0;1;NA;NA;0;;
1082;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122021;20;0;1;NA;NA;0;;
1083;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122022;20;0;1;NA;NA;0;;
1084;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122023;20;0;1;NA;NA;0;;
1085;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122024;20;0;1;NA;NA;0;;
1086;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122025;20;0;1;NA;NA;0;;
1087;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122026;20;0;1;NA;NA;0;;
1088;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122027;20;0;1;NA;NA;0;;
1089;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122028;20;0;1;NA;NA;0;;
1090;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122029;20;0;1;NA;NA;0;;
1091;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122030;20;0;1;NA;NA;0;;
1092;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122031;20;0;1;NA;NA;0;;
1093;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122032;20;0;1;NA;NA;0;;
1094;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122033;20;0;1;NA;NA;0;;
1095;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122034;20;0;1;NA;NA;0;;
1096;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122035;20;0;1;NA;NA;0;;
1097;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122036;20;0;1;NA;NA;0;;
1098;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122037;20;0;1;NA;NA;0;;
1099;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122038;20;0;1;NA;NA;0;;
1100;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122039;20;0;1;NA;NA;0;;
1101;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122040;20;0;1;NA;NA;0;;
1102;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122041;20;0;1;NA;NA;0;;
1103;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122042;20;0;1;NA;NA;0;;
1104;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122043;20;0;1;NA;NA;0;;
1105;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122044;20;0;1;NA;NA;0;;
1106;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122045;20;0;1;NA;NA;0;;
1107;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122046;20;0;1;NA;NA;0;;
1108;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122047;20;0;1;NA;NA;0;;
1109;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122048;20;0;1;NA;NA;0;;
1110;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122049;20;0;1;NA;NA;0;;
1111;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122050;20;0;1;NA;NA;0;;
1112;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122051;20;0;1;NA;NA;0;;
1113;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122052;20;0;1;NA;NA;0;;
1114;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122053;20;0;1;NA;NA;0;;
1115;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122054;20;0;1;NA;NA;0;;
1116;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122055;20;0;1;NA;NA;0;;
1117;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122056;20;0;1;NA;NA;0;;
1118;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122057;20;0;1;NA;NA;0;;
1119;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122058;20;0;1;NA;NA;0;;
1120;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122059;20;0;1;NA;NA;0;;
1121;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122060;20;0;1;NA;NA;0;;
1122;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122061;20;0;1;NA;NA;0;;
1123;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122062;20;0;1;NA;NA;0;;
1124;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122063;20;0;1;NA;NA;0;;
1125;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122064;20;0;1;NA;NA;0;;
1126;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122065;20;0;1;NA;NA;0;;
1127;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122066;20;0;1;NA;NA;0;;
1128;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122069;20;0;1;NA;NA;0;;
1129;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122070;20;0;1;NA;NA;0;;
1130;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122071;20;0;1;NA;NA;0;;
1131;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122072;20;0;1;NA;NA;0;;
1132;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122073;20;0;1;NA;NA;0;;
1133;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122074;20;0;1;NA;NA;0;;
1134;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122075;20;0;1;NA;NA;0;;
1135;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122076;20;0;1;NA;NA;0;;
1136;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122078;20;0;1;NA;NA;0;;
1137;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122080;20;0;1;NA;NA;0;;
1138;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122081;20;0;1;NA;NA;0;;
1139;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122082;20;0;1;NA;NA;0;;
1140;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122083;20;0;1;NA;NA;0;;
1141;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122084;20;0;1;NA;NA;0;;
1142;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122085;20;0;1;NA;NA;0;;
1143;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122086;20;0;1;NA;NA;0;;
1144;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122087;20;0;1;NA;NA;0;;
1145;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122088;20;0;1;NA;NA;0;;
1146;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122089;20;0;1;NA;NA;0;;
1147;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122090;20;0;1;NA;NA;0;;
1148;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122092;20;0;1;NA;NA;0;;
1149;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122094;20;0;1;NA;NA;0;;
1150;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122095;20;0;1;NA;NA;0;;
1151;art 85 inciso viii da lei 6432018 e art 3o da resolucao 502021 de 23122096;20;0;1;NA;NA;0;;
